name,longitude,latitude,prov,date,key
"Lycorma delicatula (White, 1845)",-75.104103,40.069347,gbif,2020-06-21,2802899596
"Lycorma delicatula (White, 1845)",-75.621553,39.784533,gbif,2020-06-16,2802902065
"Lycorma delicatula (White, 1845)",-75.97905,39.855812,gbif,2020-06-13,2802911262
"Lycorma delicatula (White, 1845)",-75.773013,39.928371,gbif,2020-06-18,2802912296
"Lycorma delicatula (White, 1845)",-76.040711,39.66142,gbif,2020-06-12,2802931031
"Lycorma delicatula (White, 1845)",-75.046739,40.005408,gbif,2020-06-12,2802935130
"Lycorma delicatula (White, 1845)",-75.699775,39.808595,gbif,2020-06-12,2802940069
"Lycorma delicatula (White, 1845)",-76.284203,40.021233,gbif,2020-06-18,2802963875
"Lycorma delicatula (White, 1845)",-75.89,39.7,gbif,2020-06-23,2802969978
"Lycorma delicatula (White, 1845)",-75.976813,39.855267,gbif,2020-06-13,2802974434
"Lycorma delicatula (White, 1845)",-75.60373,39.933108,gbif,2020-06-25,2802976516
"Lycorma delicatula (White, 1845)",-75.455929,39.819856,gbif,2020-06-15,2803003431
"Lycorma delicatula (White, 1845)",-75.506189,39.797353,gbif,2020-06-23,2803004979
"Lycorma delicatula (White, 1845)",-75.142414,39.932814,gbif,2020-06-20,2803010959
"Lycorma delicatula (White, 1845)",-75.3052,40.005203,gbif,2020-06-21,2803011200
"Lycorma delicatula (White, 1845)",-75.18032,39.961987,gbif,2020-06-24,2803012256
"Lycorma delicatula (White, 1845)",-75.482746,39.886248,gbif,2020-06-20,2803015501
"Lycorma delicatula (White, 1845)",-75.252038,40.013672,gbif,2020-06-15,2803021047
"Lycorma delicatula (White, 1845)",-75.074436,40.138711,gbif,2020-06-16,2803021566
"Lycorma delicatula (White, 1845)",-75.629002,39.946031,gbif,2020-06-16,2803022457
"Lycorma delicatula (White, 1845)",-75.284044,40.067396,gbif,2020-06-19,2803033038
"Lycorma delicatula (White, 1845)",-75.142253,39.944667,gbif,2020-06-20,2803040167
"Lycorma delicatula (White, 1845)",-75.690007,40.172996,gbif,2020-06-16,2803044295
"Lycorma delicatula (White, 1845)",-75.223778,40.025375,gbif,2020-06-24,2803046326
"Lycorma delicatula (White, 1845)",-75.301942,39.950422,gbif,2020-06-14,2803062751
"Lycorma delicatula (White, 1845)",-75.456552,40.119544,gbif,2020-06-14,2803063116
"Lycorma delicatula (White, 1845)",-75.077636,40.092822,gbif,2020-06-13,2803080363
"Lycorma delicatula (White, 1845)",-76.001383,40.321028,gbif,2020-06-20,2803087648
"Lycorma delicatula (White, 1845)",-75.493392,39.777589,gbif,2020-06-23,2803090186
"Lycorma delicatula (White, 1845)",-75.101573,40.077253,gbif,2020-06-19,2803092622
"Lycorma delicatula (White, 1845)",-75.683828,39.811543,gbif,2020-06-20,2803093102
"Lycorma delicatula (White, 1845)",-75.30677,40.048089,gbif,2020-06-21,2803095431
"Lycorma delicatula (White, 1845)",-75.879471,39.70964,gbif,2020-06-16,2803100474
"Lycorma delicatula (White, 1845)",-75.562248,39.950194,gbif,2020-06-23,2803102907
"Lycorma delicatula (White, 1845)",-76.064824,39.881306,gbif,2020-06-25,2803110427
"Lycorma delicatula (White, 1845)",-74.35214,40.222729,gbif,2020-06-19,2803114624
"Lycorma delicatula (White, 1845)",-75.254201,40.011678,gbif,2020-06-14,2803120435
"Lycorma delicatula (White, 1845)",-75.307674,39.996562,gbif,2020-06-24,2803134184
"Lycorma delicatula (White, 1845)",-75.196667,40.045102,gbif,2020-06-23,2803134229
"Lycorma delicatula (White, 1845)",-75.892015,39.707531,gbif,2020-06-23,2803142009
"Lycorma delicatula (White, 1845)",-75.098617,39.880203,gbif,2020-06-13,2803145332
"Lycorma delicatula (White, 1845)",-75.612686,39.871926,gbif,2020-06-25,2803151445
"Lycorma delicatula (White, 1845)",-75.259644,40.100167,gbif,2020-06-17,2803152583
"Lycorma delicatula (White, 1845)",128.480556,37.258889,gbif,2020-06-20,2803154029
"Lycorma delicatula (White, 1845)",-74.985337,40.14208,gbif,2020-06-27,2813860938
"Lycorma delicatula (White, 1845)",-74.821944,40.507778,gbif,2020-06-28,2813867049
"Lycorma delicatula (White, 1845)",-75.292892,40.100372,gbif,2020-06-28,2813867086
"Lycorma delicatula (White, 1845)",-76.04842,39.681734,gbif,2020-06-26,2813870702
"Lycorma delicatula (White, 1845)",-75.070474,40.192089,gbif,2020-06-27,2813875059
"Lycorma delicatula (White, 1845)",-75.293167,40.100095,gbif,2020-06-28,2813878065
"Lycorma delicatula (White, 1845)",-75.221467,40.123008,gbif,2020-06-27,2813884032
"Lycorma delicatula (White, 1845)",-75.672414,39.878248,gbif,2020-06-27,2813898212
"Lycorma delicatula (White, 1845)",-75.290631,39.881935,gbif,2020-06-27,2813898300
"Lycorma delicatula (White, 1845)",-75.208497,39.933437,gbif,2020-06-26,2813909017
"Lycorma delicatula (White, 1845)",-74.895287,40.07102,gbif,2020-06-26,2813917923
"Lycorma delicatula (White, 1845)",-74.985474,40.142111,gbif,2020-06-27,2813931877
"Lycorma delicatula (White, 1845)",121.497813,31.191502,gbif,2020-06-30,2813935117
"Lycorma delicatula (White, 1845)",-75.507231,40.1529,gbif,2020-06-26,2813937936
"Lycorma delicatula (White, 1845)",-76.223222,40.153726,gbif,2020-06-30,2813945026
"Lycorma delicatula (White, 1845)",-75.227325,40.074447,gbif,2020-06-28,2813968377
